mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__l2_regularization,param_classifier__learning_rate,param_classifier__max_iter,param_classifier__max_leaf_nodes,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,mean_train_score,std_train_score
20.746691823005676,0.22040164470672607,3.0806695222854614,0.11766445636749268,0.0,0.05,300,31,"{'classifier__l2_regularization': 0.0, 'classifier__learning_rate': 0.05, 'classifier__max_iter': 300, 'classifier__max_leaf_nodes': 31}",0.40589101620029455,0.4487678339818418,0.4273294250910682,0.021438408890773614,15,0.6323666978484564,0.6437659033078881,0.6380663005781723,0.005699602729715814
24.441346764564514,0.822954535484314,3.4310322999954224,0.4220231771469116,0.0,0.05,300,63,"{'classifier__l2_regularization': 0.0, 'classifier__learning_rate': 0.05, 'classifier__max_iter': 300, 'classifier__max_leaf_nodes': 63}",0.4695467422096317,0.4790247400501972,0.47428574112991445,0.004738998920282733,7,0.7676537585421412,0.7324147933284989,0.75003427593532,0.01761948260682117
20.08428394794464,0.273260235786438,3.3345409631729126,0.18536436557769775,0.0,0.05,500,31,"{'classifier__l2_regularization': 0.0, 'classifier__learning_rate': 0.05, 'classifier__max_iter': 500, 'classifier__max_leaf_nodes': 31}",0.40589101620029455,0.4487678339818418,0.4273294250910682,0.021438408890773614,15,0.6323666978484564,0.6437659033078881,0.6380663005781723,0.005699602729715814
24.179961562156677,0.8559726476669312,3.2143421173095703,0.21259474754333496,0.0,0.05,500,63,"{'classifier__l2_regularization': 0.0, 'classifier__learning_rate': 0.05, 'classifier__max_iter': 500, 'classifier__max_leaf_nodes': 63}",0.4695467422096317,0.4790247400501972,0.47428574112991445,0.004738998920282733,7,0.7676537585421412,0.7324147933284989,0.75003427593532,0.01761948260682117
15.486303210258484,0.3911019563674927,3.2354308366775513,0.2871171236038208,0.0,0.08,300,31,"{'classifier__l2_regularization': 0.0, 'classifier__learning_rate': 0.08, 'classifier__max_iter': 300, 'classifier__max_leaf_nodes': 31}",0.40211019929660025,0.4560585885486019,0.42908439392260106,0.026974194626000814,9,0.6278637770897832,0.6560674886437379,0.6419656328667606,0.014101855776977312
19.232697248458862,0.06174349784851074,3.20132577419281,0.12773597240447998,0.0,0.08,300,63,"{'classifier__l2_regularization': 0.0, 'classifier__learning_rate': 0.08, 'classifier__max_iter': 300, 'classifier__max_leaf_nodes': 63}",0.46545708304256805,0.5055928411633109,0.4855249621029395,0.02006787906037144,3,0.7681766273315569,0.759684091763821,0.763930359547689,0.004246267783867941
15.803743958473206,0.45337069034576416,3.3751102685928345,0.2381993532180786,0.0,0.08,500,31,"{'classifier__l2_regularization': 0.0, 'classifier__learning_rate': 0.08, 'classifier__max_iter': 500, 'classifier__max_leaf_nodes': 31}",0.40211019929660025,0.4560585885486019,0.42908439392260106,0.026974194626000814,9,0.6278637770897832,0.6560674886437379,0.6419656328667606,0.014101855776977312
18.226370930671692,0.09331047534942627,3.440203070640564,0.1255718469619751,0.0,0.08,500,63,"{'classifier__l2_regularization': 0.0, 'classifier__learning_rate': 0.08, 'classifier__max_iter': 500, 'classifier__max_leaf_nodes': 63}",0.46545708304256805,0.5055928411633109,0.4855249621029395,0.02006787906037144,3,0.7681766273315569,0.759684091763821,0.763930359547689,0.004246267783867941
19.410027265548706,0.45241427421569824,3.337703227996826,0.32230114936828613,0.05,0.05,300,31,"{'classifier__l2_regularization': 0.05, 'classifier__learning_rate': 0.05, 'classifier__max_iter': 300, 'classifier__max_leaf_nodes': 31}",0.4010416666666667,0.4548736462093863,0.4279576564380265,0.02691598977135981,11,0.6222767720159558,0.651013187520103,0.6366449797680294,0.014368207752073592
24.731021285057068,0.6859568357467651,3.171049118041992,0.0939638614654541,0.05,0.05,300,63,"{'classifier__l2_regularization': 0.05, 'classifier__learning_rate': 0.05, 'classifier__max_iter': 300, 'classifier__max_leaf_nodes': 63}",0.4725469358838115,0.48382458662832495,0.47818576125606826,0.005638825372256712,5,0.7760276603918556,0.7353476519839826,0.7556876561879191,0.0203400042039365
20.071910500526428,0.5690320730209351,3.284528970718384,0.32614779472351074,0.05,0.05,500,31,"{'classifier__l2_regularization': 0.05, 'classifier__learning_rate': 0.05, 'classifier__max_iter': 500, 'classifier__max_leaf_nodes': 31}",0.4010416666666667,0.4548736462093863,0.4279576564380265,0.02691598977135981,11,0.6222767720159558,0.651013187520103,0.6366449797680294,0.014368207752073592
